Site_Code,Longitude (x) -,Latitude (y) +,TAME,% forest cover Mixed .5 miles,% forest cover Mixed 1 miles,% forest cover Mixed 3 miles,%Coniferious_forest_.5mile,%Coniferious_forest_1mile,%Coniferious_forest_3mile,%Decidiuous_Forest_.5mile,%Decidiuous_Forest_1mile,%Decidiuous_Forest_3mile,% Forest Cover .5 miles,% Forest Cover 1 miles,% Forest Cover 3 miles
CE_17_2,-71.5402,41.7517,10,0.134,0.176,0.201,0.008,0.022,0.051,0.264,0.405,0.323,0.406,0.602,0.575
CE_16_2,-71.6909,41.7189,12,0.006,0.054,0.073,0.002,0.019,0.044,0.069,0.105,0.205,0.076,0.178,0.321
CE_23_1,-71.5703,41.5898,8,0.000,0.002,0.014,0.000,0.000,0.001,0.063,0.052,0.183,0.063,0.055,0.197
CE_23_2,-71.5134,41.6295,5,0.024,0.048,0.162,0.000,0.003,0.053,0.154,0.252,0.386,0.179,0.303,0.601
CE_22_2,-71.7094,41.5767,14,0.040,0.061,0.200,0.012,0.025,0.069,0.181,0.206,0.360,0.233,0.292,0.629
CE_12_2,-71.5036,41.8043,13,0.176,0.118,0.266,0.154,0.103,0.173,0.001,0.013,0.107,0.331,0.234,0.547
CE_22_1,-71.7136,41.6244,14,0.005,0.022,0.045,0.004,0.004,0.017,0.054,0.093,0.176,0.062,0.119,0.238
CE_16_3,-71.6416,41.674,6,0.086,0.191,0.202,0.028,0.194,0.129,0.264,0.277,0.264,0.378,0.662,0.595
CE_12_1,-71.5645,41.8082,8,0.190,0.228,0.224,0.254,0.239,0.153,0.006,0.169,0.308,0.450,0.636,0.685
CE_17_1,-71.5939,41.6503,5,0.537,0.369,0.202,0.042,0.105,0.146,0.041,0.069,0.163,0.620,0.542,0.511
CE_10_2,-71.761,41.7588,8,0.016,0.052,0.085,0.002,0.005,0.013,0.192,0.322,0.145,0.211,0.380,0.244
CE_11_2,-71.6931,41.8227,9,0.000,0.000,0.020,0.002,0.003,0.005,0.012,0.025,0.107,0.015,0.028,0.132
NB_18_1,-71.4205,41.6969,3,0.003,0.004,0.007,0.000,0.000,0.001,0.030,0.053,0.152,0.033,0.057,0.160
NB_8_1,-71.4372,41.8921,4,0.000,0.006,0.034,0.000,0.000,0.002,0.064,0.072,0.129,0.064,0.078,0.165
NB_19_2,-71.3042,41.673,2,0.007,0.018,0.016,0.005,0.005,0.003,0.110,0.234,0.156,0.123,0.256,0.174
NB_19_1,-71.3224,41.7604,3,0.017,0.032,0.202,0.033,0.035,0.080,0.323,0.357,0.389,0.373,0.423,0.671
NO_3_2,-71.5039,41.9362,4,0.090,0.102,0.218,0.036,0.072,0.106,0.126,0.209,0.375,0.252,0.384,0.699
NO_3_1,-71.5788,41.9798,1,0.071,0.153,0.187,0.043,0.086,0.058,0.053,0.120,0.284,0.166,0.358,0.529
NO_6_2,-71.6325,41.8921,5,0.007,0.014,0.063,0.002,0.002,0.010,0.240,0.132,0.324,0.249,0.148,0.397
NO_4_2,-71.4501,41.9412,7,0.000,0.029,0.036,0.000,0.001,0.005,0.118,0.125,0.356,0.118,0.155,0.397
NO_7_1,-71.5884,41.8597,8,0.074,0.108,0.142,0.000,0.019,0.051,0.274,0.390,0.294,0.348,0.518,0.487
NO_2_1,-71.6765,41.991,12,0.022,0.023,0.089,0.003,0.003,0.025,0.066,0.064,0.335,0.090,0.090,0.449
NO_1_1,-71.7897,41.982,13,0.011,0.014,0.031,0.003,0.000,0.002,0.232,0.321,0.352,0.246,0.335,0.385
NO_6_1,-71.7203,41.8748,14,0.003,0.008,0.014,0.000,0.002,0.004,0.074,0.107,0.136,0.077,0.117,0.153
SB_37_1,-71.3535,41.4509,4,0.000,0.002,0.021,0.000,0.000,0.006,0.002,0.018,0.032,0.002,0.020,0.058
SB_30_2,-71.3755,41.509,4,0.270,0.347,0.318,0.000,0.005,0.049,0.032,0.165,0.396,0.302,0.518,0.762
SB_26_1,-71.1737,41.65,6,0.021,0.085,0.160,0.003,0.022,0.087,0.480,0.478,0.265,0.504,0.585,0.512
SO_34_1,-71.6076,41.4296,5,0.011,0.016,0.026,0.000,0.003,0.007,0.141,0.110,0.212,0.152,0.129,0.245
SO_41_1,-71.6756,41.3759,6,0.097,0.123,0.216,0.001,0.251,0.120,0.244,0.197,0.274,0.343,0.570,0.610
SO_42_1,-71.584,41.3753,3,0.008,0.038,0.165,0.004,0.035,0.071,0.093,0.114,0.244,0.105,0.187,0.479
SO_35_1,-71.4889,41.4635,4,0.037,0.143,0.155,0.005,0.066,0.130,0.137,0.248,0.234,0.179,0.458,0.519
SO_40_1,-71.7824,41.3427,2,0.175,0.110,0.157,0.046,0.158,0.185,0.004,0.023,0.276,0.225,0.291,0.618
